Frame; Time (ms); Time (s); Delta
817;7201,75;7,2;7,69
818;7210,02;7,21;8,27
819;7218,52;7,22;8,5
820;7226,3;7,23;7,78
821;7234,49;7,23;8,19
822;7243,39;7,24;8,9
823;7251,33;7,25;7,94
824;7259,17;7,26;7,84
825;7267,2;7,27;8,03
826;7274,92;7,27;7,72
827;7283,1;7,28;8,18
828;7290,75;7,29;7,65
829;7298,52;7,3;7,77
830;7306,25;7,31;7,73
831;7314,26;7,31;8,01
832;7322,24;7,32;7,98
833;7329,98;7,33;7,74
834;7337,7;7,34;7,72
835;7345,68;7,35;7,98
836;7354,04;7,35;8,36
837;7361,85;7,36;7,81
838;7369,75;7,37;7,9
839;7378,06;7,38;8,31
840;7385,81;7,39;7,75
841;7394,1;7,39;8,29
842;7401,67;7,4;7,57
843;7409,82;7,41;8,15
844;7418,28;7,42;8,46
845;7425,92;7,43;7,64
846;7433,68;7,43;7,76
847;7441,7;7,44;8,02
848;7449,48;7,45;7,78
849;7457,41;7,46;7,93
850;7465,25;7,47;7,84
851;7473,12;7,47;7,87
852;7480,8;7,48;7,68
853;7488,69;7,49;7,89
854;7497,17;7,5;8,48
855;7505,01;7,51;7,84
856;7512,89;7,51;7,88
857;7521,04;7,52;8,15
858;7529,82;7,53;8,78
859;7537,59;7,54;7,77
860;7545,47;7,55;7,88
861;7553,67;7,55;8,2
862;7561,36;7,56;7,69
863;7569,32;7,57;7,96
864;7577,07;7,58;7,75
865;7584,92;7,58;7,85
866;7593,1;7,59;8,18
867;7600,55;7,6;7,45
868;7608,34;7,61;7,79
869;7616,45;7,62;8,11
870;7623,98;7,62;7,53
871;7632,27;7,63;8,29
872;7640,01;7,64;7,74
873;7647,91;7,65;7,9
874;7655,46;7,66;7,55
875;7663,34;7,66;7,88
876;7671,06;7,67;7,72
877;7679,1;7,68;8,04
878;7687,37;7,69;8,27
879;7695,22;7,7;7,85
880;7703,17;7,7;7,95
881;7711,12;7,71;7,95
882;7719,21;7,72;8,09
883;7727,61;7,73;8,4
884;7735,49;7,74;7,88
885;7743,43;7,74;7,94
886;7751,64;7,75;8,21
887;7759,28;7,76;7,64
888;7767,31;7,77;8,03
889;7775,26;7,78;7,95
890;7782,99;7,78;7,73
891;7790,9;7,79;7,91
892;7799,33;7,8;8,43
893;7807,28;7,81;7,95
894;7815,06;7,82;7,78
895;7822,76;7,82;7,7
896;7830,56;7,83;7,8
897;7838,26;7,84;7,7
898;7846,18;7,85;7,92
899;7854;7,85;7,82
900;7862,32;7,86;8,32
901;7870,23;7,87;7,91
902;7879,16;7,88;8,93
903;7887,46;7,89;8,3
904;7895,26;7,9;7,8
905;7903,01;7,9;7,75
906;7911,12;7,91;8,11
907;7918,83;7,92;7,71
908;7926,59;7,93;7,76
909;7934,34;7,93;7,75
910;7942,05;7,94;7,71
911;7949,72;7,95;7,67
912;7957,94;7,96;8,22
913;7965,56;7,97;7,62
914;7973,52;7,97;7,96
915;7981,22;7,98;7,7
916;7988,8;7,99;7,58
917;7997,06;8;8,26
918;8004,62;8;7,56
919;8012,5;8,01;7,88
920;8020,62;8,02;8,12
921;8028,38;8,03;7,76
922;8036,54;8,04;8,16
923;8044,49;8,04;7,95
924;8052,41;8,05;7,92
925;8060,25;8,06;7,84
926;8068,25;8,07;8
927;8076,82;8,08;8,57
928;8085,18;8,09;8,36
929;8092,89;8,09;7,71
930;8100,78;8,1;7,89
931;8108,52;8,11;7,74
932;8116,17;8,12;7,65
933;8152,43;8,15;36,26
934;8164,19;8,16;11,76
935;8172,4;8,17;8,21
936;8181,7;8,18;9,3
937;8189,72;8,19;8,02
938;8197,9;8,2;8,18
939;8205,77;8,21;7,87
940;8213,58;8,21;7,81
