Frame; Time (ms);Time (s);Delta
796;7022,229;7,022229;17,296
797;7039,525;7,039525;9,646
798;7049,171;7,049171;8,112
799;7057,283;7,057283;8,074
800;7065,357;7,065357;8,049
801;7073,406;7,073406;8,356
802;7081,762;7,081762;8,343
803;7090,105;7,090105;8,003
804;7098,108;7,098108;8,016
805;7106,124;7,106124;7,825
806;7113,949;7,113949;7,778
807;7121,727;7,121727;7,857
808;7129,584;7,129584;7,781
809;7137,365;7,137365;8,065
810;7145,43;7,14543;8,573
811;7154,003;7,154003;7,875
812;7161,878;7,161878;7,863
813;7169,741;7,169741;8,057
814;7177,798;7,177798;7,815
815;7185,613;7,185613;8,447
816;7194,06;7,19406;7,688
817;7201,748;7,201748;8,277
818;7210,025;7,210025;8,492
819;7218,517;7,218517;7,788
820;7226,305;7,226305;8,184
821;7234,489;7,234489;8,899
822;7243,388;7,243388;7,944
823;7251,332;7,251332;7,837
824;7259,169;7,259169;8,033
825;7267,202;7,267202;7,715
826;7274,917;7,274917;8,183
827;7283,1;7,2831;7,646
828;7290,746;7,290746;7,774
829;7298,52;7,29852;7,729
830;7306,249;7,306249;8,016
831;7314,265;7,314265;7,97
832;7322,235;7,322235;7,742
833;7329,977;7,329977;7,721
834;7337,698;7,337698;7,985
835;7345,683;7,345683;8,352
836;7354,035;7,354035;7,816
837;7361,851;7,361851;7,898
838;7369,749;7,369749;8,307
839;7378,056;7,378056;7,757
840;7385,813;7,385813;8,285
841;7394,098;7,394098;7,57
842;7401,668;7,401668;8,152
843;7409,82;7,40982;8,461
844;7418,281;7,418281;7,634
845;7425,915;7,425915;7,767
846;7433,682;7,433682;8,015
847;7441,697;7,441697;7,784
848;7449,481;7,449481;7,927
849;7457,408;7,457408;7,845
850;7465,253;7,465253;7,87
851;7473,123;7,473123;7,68
852;7480,803;7,480803;7,885
853;7488,688;7,488688;8,481
854;7497,169;7,497169;7,841
855;7505,01;7,50501;7,883
856;7512,893;7,512893;8,144
857;7521,037;7,521037;8,783
858;7529,82;7,52982;7,767
859;7537,587;7,537587;7,879
860;7545,466;7,545466;8,208
861;7553,674;7,553674;7,688
862;7561,362;7,561362;7,956
863;7569,318;7,569318;7,754
864;7577,072;7,577072;7,853
865;7584,925;7,584925;8,179
866;7593,104;7,593104;7,447
867;7600,551;7,600551;7,784
868;7608,335;7,608335;8,118
869;7616,453;7,616453;7,531
870;7623,984;7,623984;8,284
871;7632,268;7,632268;7,745
872;7640,013;7,640013;7,895
873;7647,908;7,647908;7,55
874;7655,458;7,655458;7,885
875;7663,343;7,663343;7,716
876;7671,059;7,671059;8,041
877;7679,1;7,6791;8,266
